# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.213978,0.295207,-0.0623707
-0.234903,0.330127,-0.051725
-0.256858,0.36287,0.024116
-0.280894,0.442698,0.0075989
-0.736556,-0.0751773,-0.386212
-0.674113,-0.0259478,-0.37138
-0.724545,0.0419413,-0.229181
-0.669068,0.0541167,-0.298056
-0.707702,0.0882269,-0.287652
-0.769874,0.193311,-0.159005
-0.689932,0.197331,-0.163462
-0.744662,0.271513,-0.127361
-0.352008,0.173911,-0.252522
-0.513248,0.0619991,-0.348759
-0.371316,0.144007,-0.280552
-0.425594,0.128517,-0.276929
-0.535639,0.0319413,-0.339439
-0.616601,0.0611963,-0.302784
-0.562997,0.116599,-0.246577
-0.679169,0.10523,-0.164532
-0.590626,-0.0950316,-0.349159
-0.58151,-0.0033856,-0.384196
-0.403574,0.064006,-0.372807
-0.216442,0.0854061,-0.43079
-0.259792,0.200382,-0.297408
-0.205088,0.277066,-0.238129
-0.399648,0.0935664,-0.333464
-0.210902,0.328052,-0.150585
-0.229572,0.234226,-0.187871
-0.234031,0.251127,-0.215698
-0.307605,0.206613,-0.203795
-0.322339,0.175755,-0.265461
-0.100415,0.261382,-0.17443
-0.175531,0.277805,-0.198484
-0.32796,0.119076,-0.32841
-0.225291,0.342472,-0.280704
-0.215899,0.263921,-0.130734
-0.233575,0.2785,-0.12024
-0.282281,0.263399,-0.133297
-0.281217,0.334427,-0.124508
-0.224006,0.276622,-0.134757
-0.30785,0.259297,-0.138648
-0.304484,0.303878,-0.0563886
-0.379045,0.366221,-0.016867
-0.210574,0.252705,-0.164249
-0.190213,0.26935,-0.168784
-0.206584,0.255286,-0.187811
-0.273413,0.258563,-0.161514
-0.276177,0.262957,-0.150312
-0.300495,0.255102,-0.152852
-0.416383,0.176205,-0.208495
-0.465325,0.290573,-0.194077
-0.616499,-0.120831,-0.344277
-0.443517,0.0799385,-0.314763
-0.553979,0.118425,-0.310707
-0.597511,0.16461,-0.261592
-0.363128,0.175148,-0.233876
-0.340479,0.210725,-0.211714
-0.452925,0.20023,-0.183497
-0.571305,0.207269,-0.235094
-0.52963,-0.00502998,-0.332911
-0.562869,0.0327116,-0.355904
-0.363089,0.181821,-0.237726
-0.436624,0.166707,-0.238077
-0.705335,0.0555877,-0.223668
-0.601051,0.19095,-0.173602
-0.634612,0.0882468,-0.270926
-0.780141,0.118002,-0.220782
-0.419537,0.0486312,-0.383358
-0.318294,0.113888,-0.397661
-0.286457,0.109375,-0.475218
-0.137122,0.0552287,-0.340149
-0.353744,0.12909,-0.317299
-0.246515,0.166984,-0.299037
-0.340223,0.136559,-0.3116
-0.231195,0.244513,-0.234476
-0.428678,0.0604512,-0.362883
-0.362474,0.148176,-0.33659
-0.298035,0.157936,-0.292987
-0.293628,0.169954,-0.298214
-0.241082,0.100695,-0.521335
-0.0450376,0.307672,-0.40528
-0.178804,0.445889,-0.425335
-0.260597,0.363523,-0.357698
-0.105856,-0.00262794,-0.385507
-0.0289588,0.137687,-0.296864
-0.0750632,0.0601916,-0.460035
-0.0748935,0.16717,-0.367984
0.0586153,0.193431,-0.417898
0.170939,0.331163,-0.427319
-0.0361442,0.233497,-0.369937
0.015993,0.289475,-0.393377
-0.127804,0.228191,-0.240339
-0.107975,0.296832,-0.2302
-0.23976,0.241096,-0.234877
-0.270598,0.174146,-0.309363
-0.19538,0.261466,-0.163842
-0.220085,0.274179,-0.167966
-0.270613,0.226527,-0.184679
-0.315253,0.180622,-0.293324
0.00838238,-0.0484513,-0.235926
0.0330639,-0.179684,-0.278668
-0.0198618,0.171905,-0.0865229
0.217871,-0.093431,-0.244866
0.0130788,-0.108094,-0.318319
0.263807,0.0390634,-0.389587
-0.0164421,0.17467,-0.107396
-0.00550722,0.0539468,-0.278247
-0.0174308,0.244613,-0.31741
0.447472,-0.0293638,-0.45864
0.514193,0.305068,-0.0819621
0.0107751,0.203934,-0.234722
0.117566,0.211308,-0.359632
0.39119,0.18245,-0.18761
0.389607,0.288082,-0.250426
0.324669,0.371422,-0.284752
0.065774,0.13088,-0.471583
0.0546074,0.319824,-0.498372
0.0491364,0.185166,-0.170843
0.249762,0.382982,-0.258448
0.188053,-0.00682206,-0.416707
0.047194,0.252144,-0.363498
0.25361,0.29957,-0.207256
0.171796,0.467846,-0.418977
-0.147254,0.0697822,-0.304078
0.0136881,0.189281,-0.387348
-0.140104,0.270051,-0.482309
0.0873973,0.26841,-0.23981
-0.111996,0.305292,-0.487179
-0.0685907,0.471323,-0.505691
0.208848,0.40341,-0.231782
0.0851117,0.487069,-0.3052
-0.172873,0.265404,-0.158297
-0.174397,0.306539,-0.145209
-0.16257,0.271052,-0.167491
-0.184397,0.291626,-0.158853
-0.142248,0.31323,-0.131205
-0.0987691,0.329117,-0.173483
-0.152108,0.359197,-0.105869
-0.16259,0.350261,-0.129369
-0.158628,0.260908,-0.157653
-0.144792,0.289723,-0.153545
-0.150358,0.301515,-0.136314
-0.150831,0.305456,-0.153186
-0.140727,0.281652,-0.146887
-0.155245,0.278021,-0.146738
-0.142322,0.285877,-0.163193
-0.168185,0.297815,-0.165369
-0.187694,0.274287,-0.166487
-0.200893,0.279569,-0.171214
-0.128118,0.345406,-0.13298
-0.189682,0.300492,-0.15333
-0.143109,0.331476,-0.107226
-0.136379,0.334187,-0.116737
-0.187183,0.309215,-0.123102
-0.167046,0.325041,-0.145341
-0.146985,0.312898,-0.0932659
-0.144813,0.350126,-0.0819223
-0.109085,0.335882,-0.111841
-0.131246,0.337151,-0.101159
-0.158689,0.311839,-0.137402
-0.207774,0.297337,-0.14288
-0.145395,0.321027,-0.124628
-0.106109,0.372415,-0.16296
-0.199698,0.235264,-0.146197
-0.188189,0.241957,-0.170435
-0.197333,0.253488,-0.11695
-0.196038,0.277263,-0.129425
-0.137711,0.262629,-0.166871
-0.118182,0.2851,-0.166189
-0.169471,0.301845,-0.151522
-0.174375,0.295406,-0.144554
-0.152133,0.300528,-0.121306
-0.157609,0.327713,-0.121429
-0.137298,0.327248,-0.138601
-0.159196,0.347023,-0.109881
-0.167302,0.314238,-0.13152
-0.151858,0.31221,-0.148676
-0.185798,0.313542,-0.102675
-0.222265,0.387826,-0.0950937
-0.0581735,0.353354,-0.136531
-0.0555145,0.329975,-0.105839
-0.111343,0.291307,-0.124591
-0.108776,0.321944,-0.133173
-0.111118,0.333901,-0.186167
-0.123805,0.392708,-0.19835
-0.0585876,0.368484,-0.216436
-0.0880166,0.442036,-0.141664
-0.100899,0.337895,-0.113493
-0.154944,0.358579,-0.0529402
-0.0973611,0.500922,-0.0363428
-0.232042,0.465618,-0.211271
-0.190806,0.386278,-0.0133299
-0.155466,0.439673,-0.0592001
-0.162442,0.449214,-0.0678903
-0.163153,0.536945,-0.00425999
-0.0614709,0.349183,-0.20718
-0.0884569,0.371925,-0.101929
-0.0567439,0.326924,-0.0943424
-0.0824726,0.364255,-0.106084
0.00979793,0.324587,-0.0655133
0.0050071,0.371365,-0.0933733
-0.0761146,0.32757,-0.0659543
-0.0274679,0.298282,-0.0715371
-0.100348,0.356508,-0.0985439
-0.0506363,0.350045,-0.0805419
-0.112573,0.371068,-0.105843
-0.107768,0.400903,-0.0925579
-0.130754,0.357374,-0.0930407
-0.148637,0.355093,-0.0871241
-0.146573,0.326213,-0.11391
-0.134772,0.360578,-0.0574284
-0.0879901,0.346283,-0.0685053
-0.123282,0.352114,-0.0849438
-0.114224,0.333138,-0.124269
-0.0831364,0.340739,-0.0975944
-0.135237,0.354589,-0.0951745
-0.144985,0.37736,-0.0977527
-0.149024,0.375562,-0.0744118
-0.138386,0.361535,-0.0812757
-0.0115656,0.3338,-0.0797797
-0.0610347,0.374344,-0.123051
-0.0871726,0.397668,-0.114165
