# data/predictors/_/HBSe_20170128T231621.prd:
# className='', T=77034, P=36
k1,k2,k3
-0.20969,0.194493,-0.187065
-0.211895,0.168375,-0.163005
-0.217386,0.246576,-0.155993
-0.224848,0.226872,-0.142357
-0.226151,0.186201,-0.150661
-0.205587,0.184225,-0.170892
-0.211068,0.182732,-0.185099
-0.197793,0.221082,-0.15588
-0.253306,0.261907,-0.173297
-0.207786,0.257403,-0.116761
-0.24723,0.229415,-0.147828
-0.195748,0.276312,-0.153602
-0.197747,0.25943,-0.128436
-0.217536,0.260531,-0.166221
-0.170643,0.287204,-0.109571
-0.233562,0.273035,-0.109682
-0.192443,0.240899,-0.111289
-0.170528,0.178162,-0.111951
-0.235209,0.193326,-0.165782
-0.211958,0.236727,-0.118525
-0.175367,0.232316,-0.106519
-0.170608,0.263112,-0.138547
-0.224207,0.271876,-0.154251
-0.215748,0.263381,-0.190428
-0.187977,0.266303,-0.167961
-0.15372,0.249034,-0.103611
-0.223526,0.27033,-0.139149
-0.185589,0.239684,-0.117125
-0.208774,0.274246,-0.070784
-0.264546,0.271304,-0.110573
-0.241465,0.251043,-0.076695
-0.213344,0.234343,-0.126495
-0.140178,0.244594,-0.151677
-0.177547,0.253218,-0.175766
-0.232338,0.223214,-0.166426
-0.225259,0.239879,-0.0977231
-0.255612,0.240604,-0.121535
-0.207861,0.250628,-0.146653
-0.226026,0.221149,-0.129595
-0.195689,0.227973,-0.170799
-0.226992,0.225931,-0.138421
-0.180979,0.181517,-0.137366
-0.17879,0.272734,-0.122399
-0.296803,0.274887,-0.0630841
-0.201736,0.256997,-0.12157
-0.223599,0.158475,-0.209906
-0.314184,0.202238,-0.136687
-0.255014,0.252522,-0.173701
-0.223362,0.304756,-0.136356
-0.283224,0.253995,-0.204484
-0.324008,0.233642,-0.219243
-0.322905,0.214912,-0.223329
-0.343804,0.216781,-0.198075
-0.32028,0.232891,-0.18835
-0.323639,0.252148,-0.176462
-0.357378,0.223945,-0.260603
-0.418081,0.159044,-0.339826
-0.644899,0.115389,-0.313059
-0.717265,0.107158,-0.304853
-0.746622,0.118072,-0.32594
-0.74696,0.140304,-0.402616
-0.761683,0.15668,-0.397134
-0.794663,0.138321,-0.373881
-0.81025,0.0798353,-0.391674
-0.796035,0.066524,-0.415353
-0.702871,0.111946,-0.427403
-0.718503,0.11863,-0.46723
-0.760278,0.101579,-0.4808
-0.754024,0.0739353,-0.520027
-0.766202,0.133369,-0.578623
