# data/codebooks/_/eps_0.0005_M_1024.cbook:
# P=36  size=1024  className='_'
k1,k2,k3
-0.432297,0.230564,-0.140426
-0.488157,0.284718,-0.0947803
-0.329449,0.187885,-0.249044
-0.349261,0.219262,-0.185993
-0.321978,0.258876,-0.13672
-0.371617,0.252141,-0.17757
-0.346322,0.181221,-0.237592
-0.341838,0.276001,-0.152598
-0.506801,0.128034,-0.284857
-0.418242,0.251828,-0.20928
-0.455565,0.306598,-0.114992
-0.612744,0.395567,-0.072034
-0.617191,0.320428,-0.119295
-0.476155,0.252691,-0.113353
-0.472974,0.352716,-0.10613
-0.502483,0.477374,0.103758
-0.503745,0.395358,0.0337798
-0.630805,0.53432,0.00742931
-0.337755,0.227117,-0.187077
-0.341218,0.23139,-0.173341
-0.378667,0.179238,-0.238811
-0.354208,0.191488,-0.244583
-0.324102,0.147369,-0.299424
-0.312222,0.15997,-0.288769
-0.316256,0.197995,-0.212193
-0.374329,0.238861,-0.220721
-0.496926,0.0884811,-0.299325
-0.499962,0.106636,-0.299399
-0.371438,0.168692,-0.258034
-0.475677,0.153839,-0.280988
-0.52722,0.0755217,-0.333707
-0.62947,0.037532,-0.329031
-0.562272,0.13827,-0.236357
-0.607737,0.188551,-0.179258
-0.476864,0.221476,-0.135048
-0.50574,0.279784,-0.100699
-0.524348,0.281087,-0.147899
-0.593143,0.220996,-0.113032
-0.654203,0.227434,-0.0922706
-0.524224,0.27513,-0.18602
-0.605952,0.28569,-0.0976974
-0.632763,0.366744,-0.0884354
-0.576972,0.107689,-0.259706
-0.605843,0.128032,-0.234151
-0.727834,0.0985791,-0.239169
-0.752906,0.116234,-0.252497
-0.686811,0.24938,-0.116615
-0.733653,0.181564,-0.170663
-0.701365,0.273791,-0.275888
-0.775927,0.324028,-0.203403
-0.729063,0.115757,-0.292135
-0.731236,0.114398,-0.311204
-0.774699,0.262362,-0.340154
-0.783278,0.177119,-0.126157
-0.410493,0.47797,-0.403884
-0.650615,0.197123,-0.318456
-0.597902,0.399771,-0.19396
-0.442507,0.202807,-0.284214
-0.663027,0.246549,-0.274349
-0.744238,0.362506,-0.282782
-0.394678,0.370258,-0.216908
-0.497066,0.568288,-0.127148
-0.651112,0.203819,-0.301189
-0.633386,0.375903,-0.280404
-0.312503,0.479228,-0.432518
-0.641373,0.429586,-0.237353
-0.518078,0.481583,-0.401121
-0.574093,0.562157,-0.226424
-0.52277,0.598409,-0.235268
-0.580498,0.641643,-0.188363
-0.49753,0.572927,-0.097215
-0.515179,0.555347,-0.166998
-0.432093,0.39639,-0.188742
-0.394454,0.427244,-0.0644891
-0.637828,0.115483,-0.251238
-0.420718,0.188093,-0.229717
-0.394805,0.401674,-0.060226
-0.458077,0.244773,-0.146795
-0.49024,0.307095,-0.0853555
-0.48015,0.443596,-0.0255188
-0.240514,0.443121,-0.0328842
